url;paperurl;org;per;loc
http://www.express.co.uk/news/uk/395890/Prisoners-on-the-run-after-armed-men-ambush-prison-van;http://www.express.co.uk/;"News Daily Express;Greater Manchester Police;Greater Manchester Police;Prison Service;Ordsall Estate;SKY";"Stevie McMullen;Ryan MacDonald;Ryan MacDonald;Stevie McMullen;Kevin Mulligan;Stevie McMullan;Mulligan";"UK;Manchester;Regent Road;Manchester Crown Court;Regent Road"
http://www.express.co.uk/sport/football/395940/Manchester-United-boss-Sir-Alex-Ferguson-hints-at-summer-transfer-plans;http://www.express.co.uk/;"Manchester United;Football;Sport;Daily Express;Manchester City;Chelsea;Aston Villa;Manchester City;Chelsea;United;United;Inside United;Manchester United;Chelsea;Manchester City";"Alex Ferguson;Alex Ferguson;Ferguson;Ezequiel Garay;Jackson Martinez;Paul Scholes;Rio Ferdinand;Adnan Januzaj;Tom Cleverley";
http://www.express.co.uk/news/royal/395942/She-loves-a-quirky-headpiece-Duchess-of-Cornwall-sports-feathered-headwear-in-Amsterdam;http://www.express.co.uk/;"Royal News Daily Express;Royal";"Charles.The;Willem-Alexander;Camilla;Zara Phillips;Mike Tindall;Camilla;Camilla;Charles";"Cornwall;Amsterdam;Cornwall;Amsterdam;Nieuwe Kerk;Church;Nieuwe Kerk;Church"
http://www.express.co.uk/sport/football/395948/Gary-Cahill-calls-for-big-push-from-Chelsea-until-end-of-season;http://www.express.co.uk/;"Chelsea;Football Sport;Daily Express;Chelsea;Swansea;Blues;Chelsea;chelseafc com;Swansea;Manchester United;Everton";"Gary Cahill;Gary Cahill;Cahill;Rafa Benitez;Cahill;Rafa Benitez";
http://www.express.co.uk/news/showbiz/395949/Hugh-Laurie-reveals-playing-House-was-a-nightmare-despite-being-best-paid-actor-on-TV;http://www.express.co.uk/;"TV;Showbiz;News;Daily Express;Radio Times;House";"Hugh Laurie;House;Hugh Laurie;Gregory House;Hugh Laurie;House;Hugh Laurie;Laurie;George Clooney;Fox";"Tomorrowland;Los Angeles;Britain"
http://www.express.co.uk/news/showbiz/395950/Felicity-Kendal-teams-up-with-Blue-Cross-to-support-their-Tea-Party-campaign;http://www.express.co.uk/;"Blue Cross;Tea Party;Showbiz;News;Daily Express;Blue Cross;Blue Cross Tea Party;Blue Cross";"Felicity Kendal;Felicity Kendal;George;Kapoor;George;Olivia Colman;Liz McClarnon;Arlene Phillips;Phillips;Victoria";
http://www.express.co.uk/sport/rugbyunion/395955/Lions-tour-call-up-hasn-t-sunk-in-for-Ben-and-Tom-Youngs;http://www.express.co.uk/;"Lions;Rugby Union;Daily Express;Leicester Tigers;Lions;Sky Sports;Leicester Tigers;Lions";"Ben;Tom Youngs;Ben;Tom Youngs;Ben;Tom;Toby Flood;Jonny Wilkinson;Warren Gatland;Ben;Jonny Wilkinson;Tom;Tony;Rory Underwood";Welford Road
http://www.express.co.uk/news/showbiz/395956/Roxanne-Pallett-is-rushed-to-hospital-with-crippling-stomach-pains;http://www.express.co.uk/;"Showbiz;News;Daily Express;The Sun;Emmerdale";"Roxanne Pallett;Roxanne Pallett;Roxanne;Jo Sugden;Roxanne Pallett;Harry Neale";"Cambridge;Princess Royal Hospital;Kent"
http://www.express.co.uk/sport/football/395960/PSG-upbeat-about-chances-of-prising-Arsenal-boss-Arsene-Wenger-away-from-Emirates;http://www.express.co.uk/;"PSG;Arsenal;Emirates Football Sport Daily Express;PSG;Daily Telegraph;Le Parisien;PSG;Real Madrid;PSG;Ladbrokes;Arsenal;Gunners";"Arsene Wenger;Arsene Wenger;Wenger;Carlo Ancelotti;Jose Mourinho;Cristiano Ronaldo;Wenger;Ancelotti;Jose Mourinho;Carlo Ancelotti;Arsene Wenger";Bernebeu
http://www.express.co.uk/news/world/395961/British-military-planning-to-build-shadow-presence-in-the-Persian-Gulf;http://www.express.co.uk/;"World News;Daily Express;Royal United Services Institute";"Gareth Stansfield;Saul Kelly";"Persian Gulf;Britain;Persian Gulf;Bahrain;Suez;Britain;UK;America;Gulf;Iran rsquo;s;Israel;Arab Gulf;Iran"
